"qudtUri","qudtLabel","qudtDimensionVector","qudtConversionMultiplier","nonLatexDescription","latexDescription"
"http://qudt.org/vocab/unit/MicroH-PER-OHM","Microhenry pe Ohm","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T1D0",1e-06,"0.000001-fold of the SI derived unit henry divided by the SI derived unit ohm",NA
"http://qudt.org/vocab/unit/MicroIN","Microinch","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T0D0",2.54e-08,NA,"""Microinch"" is an Imperial unit for  'Length' expressed as $in^{-6}$."
"http://qudt.org/vocab/unit/MicroJ","Micro Joule","http://qudt.org/vocab/dimensionvector/A0E0L2I0M1H0T-2D0",1e-06,"0.000001-fold of the SI derived unit joule",NA
"http://qudt.org/vocab/unit/MicroJ-PER-SEC","Micro Joule per Second","http://qudt.org/vocab/dimensionvector/A0E0L2I0M1H0T-3D0",1e-06,"0.000001-fold of the SI derived unit joule divided by the SI base unit second",NA
"http://qudt.org/vocab/unit/MicroKAT","Microkatal","http://qudt.org/vocab/dimensionvector/A1E0L0I0M0H0T-1D0",1e-06,NA,NA
"http://qudt.org/vocab/unit/MicroKAT-PER-L","Microkatal per Liter","http://qudt.org/vocab/dimensionvector/A1E0L-3I0M0H0T-1D0",0.001,"A unit of catalytic activity used especially in the chemistry of enzymes. A catalyst is a substance that starts or speeds a chemical reaction. Enzymes are proteins that act as catalysts within the bodies of living plants and animals. A catalyst has an activity of one katal if it enables a reaction to proceed at the rate of one mole per second.",NA
"http://qudt.org/vocab/unit/MicroL","Microliter","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T0D0",1e-09,"0.000001-fold of the unit litre",NA
"http://qudt.org/vocab/unit/MicroL-PER-L","Microliter per Liter","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",1e-06,"volume ratio as 0.000001-fold of the unit litre divided by the unit litre",NA
"http://qudt.org/vocab/unit/MicroM","Micrometer","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T0D0",1e-06,NA,"""Micrometer"" is a unit for  'Length' expressed as $microm$."
"http://qudt.org/vocab/unit/MicroM-PER-K","Micrometer per Kelvin","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H-1T0D0",1e-06,"0.000001-fold of the SI base unit metre divided by the SI base unit kelvin",NA
"http://qudt.org/vocab/unit/MicroM-PER-L-DAY","Micrometer per Liter Day","http://qudt.org/vocab/dimensionvector/A0E0L-2I0M0H0T-1D0",1.157407407e-08,NA,NA
