"qudtUri","ucumCode"
"http://qudt.org/vocab/unit/BTU_IT-PER-FT2-HR-DEG_F","[Btu_IT].[ft_i]-2.h-1.[degF]-1"
"http://qudt.org/vocab/unit/BTU_IT-PER-FT2-SEC","[Btu_IT].[ft_i]-2.s-1"
"http://qudt.org/vocab/unit/BTU_IT-PER-FT2-SEC-DEG_F","[Btu_IT].[ft_i]-2.s-1.[degF]-1"
"http://qudt.org/vocab/unit/BTU_IT-PER-FT3","[Btu_IT].[ft_i]-3"
"http://qudt.org/vocab/unit/BTU_IT-PER-HR","[Btu_IT].h-1"
"http://qudt.org/vocab/unit/BTU_IT-PER-HR-FT2","[Btu_IT].h-1.[ft_i]-2"
"http://qudt.org/vocab/unit/BTU_IT-PER-HR-FT2-DEG_F","[Btu_IT].h-1.[ft_i]-2.[degF]-1"
"http://qudt.org/vocab/unit/BTU_IT-PER-HR-FT2-DEG_R","[Btu_IT].h-1.[ft_i]-2.[degR]-1"
"http://qudt.org/vocab/unit/BTU_IT-PER-IN2-SEC","[Btu_IT].[in_i]-2.s-1"
"http://qudt.org/vocab/unit/BTU_IT-PER-LB","[Btu_IT].[lb_av]-1"
"http://qudt.org/vocab/unit/BTU_IT-PER-LB-DEG_F","[Btu_IT].[lb_av]-1.[degF]-1"
"http://qudt.org/vocab/unit/BTU_IT-PER-LB-DEG_R","[Btu_IT].[lb_av]-1.[degR]-1"
"http://qudt.org/vocab/unit/BTU_IT-PER-LB_F","[Btu_IT].[lbf_av]-1"
"http://qudt.org/vocab/unit/BTU_IT-PER-LB_F-DEG_F","[Btu_IT].[lbf_av]-1.[degF]-1"
"http://qudt.org/vocab/unit/BTU_IT-PER-LB_F-DEG_R","[Btu_IT].[lbf_av]-1.[degR]-1"
"http://qudt.org/vocab/unit/BTU_IT-PER-MIN","[Btu_IT].min-1"
"http://qudt.org/vocab/unit/BTU_IT-PER-MOL_LB","[Btu_IT].[mol_lb]-1"
"http://qudt.org/vocab/unit/BTU_IT-PER-MOL_LB-DEG_F","[Btu_IT].[mol_lb]-1.[degF]-1"
"http://qudt.org/vocab/unit/BTU_IT-PER-SEC","[Btu_IT].s-1"
"http://qudt.org/vocab/unit/BTU_IT-PER-SEC-FT-DEG_R","[Btu_IT].s-1.[ft_i]-1.[degR]-1"
"http://qudt.org/vocab/unit/BTU_IT-PER-SEC-FT2","[Btu_IT].s-1.[ft_i]-2"
"http://qudt.org/vocab/unit/BTU_IT-PER-SEC-FT2-DEG_F","[Btu_IT].s-1.[ft_i]-2.[degF]-1"
"http://qudt.org/vocab/unit/BTU_IT-PER-SEC-FT2-DEG_R","[Btu_IT].s-1.[ft_i]-2.[degR]-1"
"http://qudt.org/vocab/unit/BTU_MEAN","[Btu_m]"
"http://qudt.org/vocab/unit/BTU_TH","[Btu_th]"
"http://qudt.org/vocab/unit/BTU_TH-FT-PER-FT2-HR-DEG_F","[Btu_th].[ft_i].[ft_i]-2.h-1.[degF]-1"
"http://qudt.org/vocab/unit/BTU_TH-FT-PER-HR-FT2-DEG_F","[Btu_th].[ft_i].h-1.[ft_i]-2.[degF]-1"
"http://qudt.org/vocab/unit/BTU_TH-IN-PER-FT2-HR-DEG_F","[Btu_th].[in_i].[ft_i]-2.h-1.[degF]-1"
"http://qudt.org/vocab/unit/BTU_TH-IN-PER-FT2-SEC-DEG_F","[Btu_th].[in_i].[ft_i]-2.s-1.[degF]-1"
"http://qudt.org/vocab/unit/BTU_TH-PER-DEG_F","[Btu_th].[degF]-1"
"http://qudt.org/vocab/unit/BTU_TH-PER-DEG_R","[Btu_th].[degR]-1"
"http://qudt.org/vocab/unit/BTU_TH-PER-FT2","[Btu_th].[ft_i]-2"
"http://qudt.org/vocab/unit/BTU_TH-PER-FT2-HR","[Btu_th].[ft_i]-2.h-1"
"http://qudt.org/vocab/unit/BTU_TH-PER-FT2-MIN","[Btu_th].[ft_i]-2.min-1"
"http://qudt.org/vocab/unit/BTU_TH-PER-FT2-SEC","[Btu_th].[ft_i]-2.s-1"
"http://qudt.org/vocab/unit/BTU_TH-PER-FT3","[Btu_th].[ft_i]-3"
"http://qudt.org/vocab/unit/BTU_TH-PER-HR","[Btu_th].h-1"
"http://qudt.org/vocab/unit/BTU_TH-PER-HR-FT2-DEG_F","[Btu_th].h-1.[ft_i]-2.[degF]-1"
"http://qudt.org/vocab/unit/BTU_TH-PER-LB","[Btu_th].[lb_av]-1"
"http://qudt.org/vocab/unit/BTU_TH-PER-LB-DEG_F","[Btu_th].[lb_av]-1.[degF]-1"
"http://qudt.org/vocab/unit/BTU_TH-PER-LB-DEG_R","[Btu_th].[lb_av]-1.[degR]-1"
"http://qudt.org/vocab/unit/BTU_TH-PER-MIN","[Btu_th].min-1"
"http://qudt.org/vocab/unit/BTU_TH-PER-SEC","[Btu_th].s-1"
"http://qudt.org/vocab/unit/BTU_TH-PER-SEC-FT2-DEG_F","[Btu_th].s-1.[ft_i]-2.[degF]-1"
"http://qudt.org/vocab/unit/BU_UK","[bu_br]"
"http://qudt.org/vocab/unit/BU_UK-PER-DAY","[bu_br].d-1"
"http://qudt.org/vocab/unit/BU_UK-PER-HR","[bu_br].h-1"
