"pseudounit","unit","GroupTotalUses","unit.1","ediScopeUses","ediPackageUses","ediTotalUses","neonScopeUses","neonPackageUses","neonTotalUses","dataoneTotalUses","orgList","numOrgs","totalScopes","totalPackages","TotalUses"
"ampere","ampere",22,"ampere",3,3,5,0,0,0,17,"EDI DataOne",2,3,3,22
"9","9",22,"9",0,0,0,0,0,0,21,"DataOne",1,0,0,21
"9","9",22,"9",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"2010","2010",22,"2010",0,0,0,0,0,0,22,"DataOne",1,0,0,22
"wattpermetersquared","watt per m2",21,"watt per m2",1,2,20,0,0,0,0,"EDI",1,1,2,20
"wattpermetersquared","watt per meter squared",21,"watt per meter squared",1,1,1,0,0,0,0,"EDI",1,1,1,1
"thousands","thousands",21,"thousands",1,6,6,0,0,0,15,"EDI DataOne",2,1,6,21
"shotnumber","shot number",21,"shot number",0,0,0,0,0,0,21,"DataOne",1,0,0,21
"shot","shot",21,"shot",0,0,0,0,0,0,21,"DataOne",1,0,0,21
"numberpersquaremeter","numberpersquaremeter",21,"numberpersquaremeter",1,1,19,0,0,0,0,"EDI",1,1,1,19
"numberpersquaremeter","numberpersquaremeter",21,"numberpersquaremeter",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"neg","neg",21,"neg",0,0,0,0,0,0,19,"DataOne",1,0,0,19
"neg","neg",21,"neg",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"neg","neg",21,"neg",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"nanomoleperkilogramperday","nanomolesperkilogramperday",21,"nanomolesperkilogramperday",1,1,18,0,0,0,0,"EDI",1,1,1,18
"nanomoleperkilogramperday","nanomolesperkilogramperday",21,"nanomolesperkilogramperday",0,0,0,0,0,0,3,"DataOne",1,0,0,3
"ms","ms",21,"ms",0,0,0,0,0,0,12,"DataOne",1,0,0,12
"ms","ms",21,"ms",0,0,0,0,0,0,5,"DataOne",1,0,0,5
"ms","ms",21,"ms",0,0,0,0,0,0,4,"DataOne",1,0,0,4
"milligramperliterperday","milligramsperliterperday",21,"milligramsperliterperday",2,4,13,0,0,0,0,"EDI",1,2,4,13
"milligramperliterperday","milligramperliterperday",21,"milligramperliterperday",1,2,4,0,0,0,0,"EDI",1,1,2,4
"milligramperliterperday","milligramsperliterperday",21,"milligramsperliterperday",0,0,0,0,0,0,3,"DataOne",1,0,0,3
"milligramperliterperday","milligrams per liter per day",21,"milligrams per liter per day",1,1,1,0,0,0,0,"EDI",1,1,1,1
"micromolpersquaremeterpersecond","micromolpersquaremeterpersecond",21,"micromolpersquaremeterpersecond",2,7,20,0,0,0,0,"EDI",1,2,7,20
"micromolpersquaremeterpersecond","micromolpersquaremeterpersecond",21,"micromolpersquaremeterpersecond",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"micromoleperliterperday","micromoleperliterperday",21,"micromoleperliterperday",0,0,0,0,0,0,12,"DataOne",1,0,0,12
"micromoleperliterperday","micromoleperliterperday",21,"micromoleperliterperday",3,3,9,0,0,0,0,"EDI",1,3,3,9
"micromoleperhourpergram","micromoleperhourpergram",21,"micromoleperhourpergram",2,2,17,0,0,0,0,"EDI",1,2,2,17
"micromoleperhourpergram","micromoleperhourpergram",21,"micromoleperhourpergram",0,0,0,0,0,0,4,"DataOne",1,0,0,4
"logofsquarekilometer","log of square kilometers",21,"log of square kilometers",0,0,0,0,0,0,21,"DataOne",1,0,0,21
"formazinnephelometricunit","formazinnephelometricunit",21,"formazinnephelometricunit",2,8,17,0,0,0,0,"EDI",1,2,8,17
"formazinnephelometricunit","formazinnephelometricunit",21,"formazinnephelometricunit",0,0,0,1,1,4,0,"NEON",1,1,1,4
"degreeazimuth","degrees azimuth",21,"degrees azimuth",1,11,20,0,0,0,1,"EDI DataOne",2,1,11,21
"deg-c","deg-c",21,"deg-c",0,0,0,0,0,0,12,"DataOne",1,0,0,12
"deg-c","deg-c",21,"deg-c",1,7,9,0,0,0,0,"EDI",1,1,7,9
"blank","blank",21,"blank",0,0,0,0,0,0,21,"DataOne",1,0,0,21
"11","11",21,"11",0,0,0,0,0,0,20,"DataOne",1,0,0,20
"11","11",21,"11",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"yy","yy",20,"yy",2,11,11,0,0,0,0,"EDI",1,2,11,11
"yy","yy",20,"yy",0,0,0,0,0,0,9,"DataOne",1,0,0,9
"water","water",20,"water",0,0,0,0,0,0,10,"DataOne",1,0,0,10
"water","water",20,"water",0,0,0,0,0,0,7,"DataOne",1,0,0,7
"water","water",20,"water",0,0,0,0,0,0,3,"DataOne",1,0,0,3
"ue","ue",20,"ue",1,3,13,0,0,0,0,"EDI",1,1,3,13
"ue","ue",20,"ue",0,0,0,0,0,0,7,"DataOne",1,0,0,7
"permill","permill",20,"permill",2,3,13,1,1,2,0,"EDI NEON",2,3,4,15
"permill","per mill",20,"per mill",1,1,4,0,0,0,1,"EDI DataOne",2,1,1,5
"partpertrillion","partpertrillion",20,"partpertrillion",1,1,13,0,0,0,0,"EDI",1,1,1,13
"partpertrillion","partspertrillion",20,"partspertrillion",0,0,0,0,0,0,4,"DataOne",1,0,0,4
"partpertrillion","partspertrillion",20,"partspertrillion",1,1,2,0,0,0,0,"EDI",1,1,1,2
"partpertrillion","part per trillion",20,"part per trillion",1,1,1,0,0,0,0,"EDI",1,1,1,1
"numberpersquarecentimeterperhour","numberpersquarecentimeterperhour",20,"numberpersquarecentimeterperhour",1,4,16,0,0,0,0,"EDI",1,1,4,16
"numberpersquarecentimeterperhour","numberpersquarecentimeterperhour",20,"numberpersquarecentimeterperhour",0,0,0,0,0,0,4,"DataOne",1,0,0,4
"numberperday","numberperday",20,"numberperday",2,3,19,0,0,0,0,"EDI",1,2,3,19
"numberperday","numberperday",20,"numberperday",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"millimolepermeterquaredperhour","millimolepermetersquaredperhour",20,"millimolepermetersquaredperhour",4,6,17,0,0,0,0,"EDI",1,4,6,17
"millimolepermeterquaredperhour","millimolepermetersquaredperhour",20,"millimolepermetersquaredperhour",0,0,0,0,0,0,3,"DataOne",1,0,0,3
"meqper100g","meq/100g",20,"meq/100g",2,2,11,0,0,0,5,"EDI DataOne",2,2,2,16
"meqper100g","meq/100g",20,"meq/100g",0,0,0,0,0,0,4,"DataOne",1,0,0,4
"identificationnumber","identification number",20,"identification number",1,1,20,0,0,0,0,"EDI",1,1,1,20
"grampergramperday","grampergramperday",20,"grampergramperday",5,5,13,0,0,0,0,"EDI",1,5,5,13
"grampergramperday","gramspergramperday",20,"gramspergramperday",0,0,0,0,0,0,3,"DataOne",1,0,0,3
"grampergramperday","grampergramperday",20,"grampergramperday",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"grampergramperday","gramspergramsperday",20,"gramspergramsperday",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"grampergramperday","gramspergramsperday",20,"gramspergramsperday",1,1,1,0,0,0,0,"EDI",1,1,1,1
"clayeysand","clayey sand",20,"clayey sand",0,0,0,0,0,0,19,"DataOne",1,0,0,19
"clayeysand","clayey sand",20,"clayey sand",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"a","a",20,"a",0,0,0,0,0,0,17,"DataOne",1,0,0,17
"a","a",20,"a",0,0,0,0,0,0,3,"DataOne",1,0,0,3
"%cover","%cover",20,"%cover",1,2,20,0,0,0,0,"EDI",1,1,2,20
"#permetersquared","#/m2",20,"#/m2",1,1,7,0,0,0,7,"EDI DataOne",2,1,1,14
"#permetersquared","#/m^2",20,"#/m^2",1,1,3,0,0,0,3,"EDI DataOne",2,1,1,6
"TRUE","TRUE",19,"TRUE",0,0,0,0,0,0,18,"DataOne",1,0,0,18
"TRUE","TRUE",19,"TRUE",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"millimole","millimole",19,"millimole",1,1,6,0,0,0,8,"EDI DataOne",2,1,1,14
"millimole","millimoles",19,"millimoles",1,1,5,0,0,0,0,"EDI",1,1,1,5
"millimeterpermeterquared","millimeterpermetersquared",19,"millimeterpermetersquared",1,1,19,0,0,0,0,"EDI",1,1,1,19
"micromolepersecond","micromolespersecond",19,"micromolespersecond",2,4,5,0,0,0,0,"EDI",1,2,4,5
"micromolepersecond","micromolepersecond",19,"micromolepersecond",0,0,0,0,0,0,5,"DataOne",1,0,0,5
"micromolepersecond","micromolepersecond",19,"micromolepersecond",2,2,3,0,0,0,0,"EDI",1,2,2,3
"micromolepersecond","micromolespersecond",19,"micromolespersecond",0,0,0,0,0,0,3,"DataOne",1,0,0,3
"micromolepersecond","micromolespersecond",19,"micromolespersecond",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"micromolepersecond","micromole per second",19,"micromole per second",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"micromolepersecond","micromole per second",19,"micromole per second",1,1,1,0,0,0,0,"EDI",1,1,1,1
"microcuriepermicromole","microcuriepermicromole",19,"microcuriepermicromole",1,12,12,0,0,0,0,"EDI",1,1,12,12
"microcuriepermicromole","microcuriepermicromole",19,"microcuriepermicromole",0,0,0,0,0,0,7,"DataOne",1,0,0,7
"maxberries(gbiomass)-1m-2","maxberries(gbiomass)-1m-2",19,"maxberries(gbiomass)-1m-2",1,1,9,0,0,0,10,"EDI DataOne",2,1,1,19
"gallonperminute","gallonperminute",19,"gallonperminute",0,0,0,0,0,0,15,"DataOne",1,0,0,15
"gallonperminute","gallonperminute",19,"gallonperminute",1,1,4,0,0,0,0,"EDI",1,1,1,4
"FALSE","FALSE",19,"FALSE",0,0,0,0,0,0,17,"DataOne",1,0,0,17
"FALSE","FALSE",19,"FALSE",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"FALSE","FALSE",19,"FALSE",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"concentrationunit,sometimesusedforpigmentsinnaturalwaters.samemagnitudeasmicrogramperliter","concentration unit, sometimes used for pigments in natural waters.same magnitude as microgramperliter",19,"concentration unit, sometimes used for pigments in natural waters.same magnitude as microgramperliter",2,19,19,0,0,0,0,"EDI",1,2,19,19
"clay","clay",19,"clay",0,0,0,0,0,0,18,"DataOne",1,0,0,18
"clay","clay",19,"clay",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"Ã¢Âµm=Ã¢Âµmoleperliterofsolution","Ã¢Âµm = Ã¢Âµmoles per liter of solution",19,"Ã¢Âµm = Ã¢Âµmoles per liter of solution",5,19,19,0,0,0,0,"EDI",1,5,19,19
