"unit","ucumCode","qudtUnit","qudtUri"
"[Btu_IT].[in_i]/(s.[ft_i]2.[degF])","[Btu_IT].[in_i]/(s.[ft_i]2.[degF])","BTU_IT-IN-PER-SEC-FT2-DEG_F","http://qudt.org/vocab/unit/BTU_IT-IN-PER-SEC-FT2-DEG_F"
"[Btu_IT]/[degF]","[Btu_IT]/[degF]","BTU_IT-PER-DEG_F","http://qudt.org/vocab/unit/BTU_IT-PER-DEG_F"
"[Btu_IT]/[degF]","[Btu_IT].[degF]-1","BTU_IT-PER-DEG_F","http://qudt.org/vocab/unit/BTU_IT-PER-DEG_F"
"[Btu_IT].[degF]-1","[Btu_IT]/[degF]","BTU_IT-PER-DEG_F","http://qudt.org/vocab/unit/BTU_IT-PER-DEG_F"
"[Btu_IT].[degF]-1","[Btu_IT].[degF]-1","BTU_IT-PER-DEG_F","http://qudt.org/vocab/unit/BTU_IT-PER-DEG_F"
"[Btu_IT].[degR]-1","[Btu_IT]/[degR]","BTU_IT-PER-DEG_R","http://qudt.org/vocab/unit/BTU_IT-PER-DEG_R"
"[Btu_IT].[degR]-1","[Btu_IT].[degR]-1","BTU_IT-PER-DEG_R","http://qudt.org/vocab/unit/BTU_IT-PER-DEG_R"
"[Btu_IT]/[degR]","[Btu_IT]/[degR]","BTU_IT-PER-DEG_R","http://qudt.org/vocab/unit/BTU_IT-PER-DEG_R"
"[Btu_IT]/[degR]","[Btu_IT].[degR]-1","BTU_IT-PER-DEG_R","http://qudt.org/vocab/unit/BTU_IT-PER-DEG_R"
"[Btu_IT].[ft_i]-2","[Btu_IT]/[ft_i]2","BTU_IT-PER-FT2","http://qudt.org/vocab/unit/BTU_IT-PER-FT2"
"[Btu_IT].[ft_i]-2","[Btu_IT].[ft_i]-2","BTU_IT-PER-FT2","http://qudt.org/vocab/unit/BTU_IT-PER-FT2"
"[Btu_IT]/[ft_i]2","[Btu_IT]/[ft_i]2","BTU_IT-PER-FT2","http://qudt.org/vocab/unit/BTU_IT-PER-FT2"
"[Btu_IT]/[ft_i]2","[Btu_IT].[ft_i]-2","BTU_IT-PER-FT2","http://qudt.org/vocab/unit/BTU_IT-PER-FT2"
"[Btu_IT]/([ft_i]2.h.[degF])","[Btu_IT]/([ft_i]2.h.[degF])","BTU_IT-PER-FT2-HR-DEG_F","http://qudt.org/vocab/unit/BTU_IT-PER-FT2-HR-DEG_F"
"[Btu_IT]/([ft_i]2.h.[degF])","[Btu_IT].[ft_i]-2.h-1.[degF]-1","BTU_IT-PER-FT2-HR-DEG_F","http://qudt.org/vocab/unit/BTU_IT-PER-FT2-HR-DEG_F"
"[Btu_IT].[ft_i]-2.h-1.[degF]-1","[Btu_IT]/([ft_i]2.h.[degF])","BTU_IT-PER-FT2-HR-DEG_F","http://qudt.org/vocab/unit/BTU_IT-PER-FT2-HR-DEG_F"
"[Btu_IT].[ft_i]-2.h-1.[degF]-1","[Btu_IT].[ft_i]-2.h-1.[degF]-1","BTU_IT-PER-FT2-HR-DEG_F","http://qudt.org/vocab/unit/BTU_IT-PER-FT2-HR-DEG_F"
"[Btu_IT]/([ft_i]2.s.[degF])","[Btu_IT].[ft_i]-2.s-1.[degF]-1","BTU_IT-PER-FT2-SEC-DEG_F","http://qudt.org/vocab/unit/BTU_IT-PER-FT2-SEC-DEG_F"
"[Btu_IT]/([ft_i]2.s.[degF])","[Btu_IT]/([ft_i]2.s.[degF])","BTU_IT-PER-FT2-SEC-DEG_F","http://qudt.org/vocab/unit/BTU_IT-PER-FT2-SEC-DEG_F"
"[Btu_IT].[ft_i]-2.s-1.[degF]-1","[Btu_IT].[ft_i]-2.s-1.[degF]-1","BTU_IT-PER-FT2-SEC-DEG_F","http://qudt.org/vocab/unit/BTU_IT-PER-FT2-SEC-DEG_F"
"[Btu_IT].[ft_i]-2.s-1.[degF]-1","[Btu_IT]/([ft_i]2.s.[degF])","BTU_IT-PER-FT2-SEC-DEG_F","http://qudt.org/vocab/unit/BTU_IT-PER-FT2-SEC-DEG_F"
"[Btu_IT].[ft_i]-3","[Btu_IT].[ft_i]-3","BTU_IT-PER-FT3","http://qudt.org/vocab/unit/BTU_IT-PER-FT3"
"[Btu_IT].[ft_i]-3","[Btu_IT]/[ft_i]3","BTU_IT-PER-FT3","http://qudt.org/vocab/unit/BTU_IT-PER-FT3"
"[Btu_IT]/[ft_i]3","[Btu_IT].[ft_i]-3","BTU_IT-PER-FT3","http://qudt.org/vocab/unit/BTU_IT-PER-FT3"
"[Btu_IT]/[ft_i]3","[Btu_IT]/[ft_i]3","BTU_IT-PER-FT3","http://qudt.org/vocab/unit/BTU_IT-PER-FT3"
"[Btu_IT]/h","[Btu_IT].h-1","BTU_IT-PER-HR","http://qudt.org/vocab/unit/BTU_IT-PER-HR"
"[Btu_IT]/h","[Btu_IT]/h","BTU_IT-PER-HR","http://qudt.org/vocab/unit/BTU_IT-PER-HR"
"[Btu_IT].h-1","[Btu_IT].h-1","BTU_IT-PER-HR","http://qudt.org/vocab/unit/BTU_IT-PER-HR"
"[Btu_IT].h-1","[Btu_IT]/h","BTU_IT-PER-HR","http://qudt.org/vocab/unit/BTU_IT-PER-HR"
"[Btu_IT].h-1.[ft_i]-2","[Btu_IT].h-1.[ft_i]-2","BTU_IT-PER-HR-FT2","http://qudt.org/vocab/unit/BTU_IT-PER-HR-FT2"
"[Btu_IT].h-1.[ft_i]-2","[Btu_IT]/(h.[ft_i]2)","BTU_IT-PER-HR-FT2","http://qudt.org/vocab/unit/BTU_IT-PER-HR-FT2"
"[Btu_IT]/(h.[ft_i]2)","[Btu_IT].h-1.[ft_i]-2","BTU_IT-PER-HR-FT2","http://qudt.org/vocab/unit/BTU_IT-PER-HR-FT2"
"[Btu_IT]/(h.[ft_i]2)","[Btu_IT]/(h.[ft_i]2)","BTU_IT-PER-HR-FT2","http://qudt.org/vocab/unit/BTU_IT-PER-HR-FT2"
"[Btu_IT]/(h.[ft_i]2.[degR])","[Btu_IT].h-1.[ft_i]-2.[degR]-1","BTU_IT-PER-HR-FT2-DEG_R","http://qudt.org/vocab/unit/BTU_IT-PER-HR-FT2-DEG_R"
"[Btu_IT]/(h.[ft_i]2.[degR])","[Btu_IT]/(h.[ft_i]2.[degR])","BTU_IT-PER-HR-FT2-DEG_R","http://qudt.org/vocab/unit/BTU_IT-PER-HR-FT2-DEG_R"
"[Btu_IT].h-1.[ft_i]-2.[degR]-1","[Btu_IT].h-1.[ft_i]-2.[degR]-1","BTU_IT-PER-HR-FT2-DEG_R","http://qudt.org/vocab/unit/BTU_IT-PER-HR-FT2-DEG_R"
"[Btu_IT].h-1.[ft_i]-2.[degR]-1","[Btu_IT]/(h.[ft_i]2.[degR])","BTU_IT-PER-HR-FT2-DEG_R","http://qudt.org/vocab/unit/BTU_IT-PER-HR-FT2-DEG_R"
"[Btu_IT]/[lb_av]","[Btu_IT]/[lb_av]","BTU_IT-PER-LB","http://qudt.org/vocab/unit/BTU_IT-PER-LB"
"[Btu_IT]/[lb_av]","[Btu_IT].[lb_av]-1","BTU_IT-PER-LB","http://qudt.org/vocab/unit/BTU_IT-PER-LB"
"[Btu_IT].[lb_av]-1","[Btu_IT]/[lb_av]","BTU_IT-PER-LB","http://qudt.org/vocab/unit/BTU_IT-PER-LB"
"[Btu_IT].[lb_av]-1","[Btu_IT].[lb_av]-1","BTU_IT-PER-LB","http://qudt.org/vocab/unit/BTU_IT-PER-LB"
"[Btu_IT].[lb_av]-1.[degF]-1","[Btu_IT].[lb_av]-1.[degF]-1","BTU_IT-PER-LB-DEG_F","http://qudt.org/vocab/unit/BTU_IT-PER-LB-DEG_F"
"[Btu_IT].[lb_av]-1.[degF]-1","[Btu_IT]/([lb_av].[degF])","BTU_IT-PER-LB-DEG_F","http://qudt.org/vocab/unit/BTU_IT-PER-LB-DEG_F"
"[Btu_IT]/([lb_av].[degF])","[Btu_IT].[lb_av]-1.[degF]-1","BTU_IT-PER-LB-DEG_F","http://qudt.org/vocab/unit/BTU_IT-PER-LB-DEG_F"
"[Btu_IT]/([lb_av].[degF])","[Btu_IT]/([lb_av].[degF])","BTU_IT-PER-LB-DEG_F","http://qudt.org/vocab/unit/BTU_IT-PER-LB-DEG_F"
"[Btu_IT].[lb_av]-1.[degR]-1","[Btu_IT]/([lb_av].[degR])","BTU_IT-PER-LB-DEG_R","http://qudt.org/vocab/unit/BTU_IT-PER-LB-DEG_R"
