"QK_EDI","QK_QUDT","dimVec","dimensionVector","s_EDI","s_QUDT"
"AreaMassRate","CharacteristicAcousticImpedance","A0E0L-2I0M1H0T-1D0","http://qudt.org/vocab/dimensionvector/A0E0L-2I0M1H0T-1D0","http://qudt.org/vocab/quantitykind/AreaMassRate","http://qudt.org/vocab/quantitykind/CharacteristicAcousticImpedance"
"AreaMassRate","MassFluxDensity","A0E0L-2I0M1H0T-1D0","http://qudt.org/vocab/dimensionvector/A0E0L-2I0M1H0T-1D0","http://qudt.org/vocab/quantitykind/AreaMassRate","http://qudt.org/vocab/quantitykind/MassFluxDensity"
"AreaMassRate","MassPerAreaTime","A0E0L-2I0M1H0T-1D0","http://qudt.org/vocab/dimensionvector/A0E0L-2I0M1H0T-1D0","http://qudt.org/vocab/quantitykind/AreaMassRate","http://qudt.org/vocab/quantitykind/MassPerAreaTime"
"AreaMassRate","MechanicalSurfaceImpedance","A0E0L-2I0M1H0T-1D0","http://qudt.org/vocab/dimensionvector/A0E0L-2I0M1H0T-1D0","http://qudt.org/vocab/quantitykind/AreaMassRate","http://qudt.org/vocab/quantitykind/MechanicalSurfaceImpedance"
"AreaMassRate","SpecificAcousticImpedance","A0E0L-2I0M1H0T-1D0","http://qudt.org/vocab/dimensionvector/A0E0L-2I0M1H0T-1D0","http://qudt.org/vocab/quantitykind/AreaMassRate","http://qudt.org/vocab/quantitykind/SpecificAcousticImpedance"
"AreaMassRate","SurgeImpedanceOfTheMedium","A0E0L-2I0M1H0T-1D0","http://qudt.org/vocab/dimensionvector/A0E0L-2I0M1H0T-1D0","http://qudt.org/vocab/quantitykind/AreaMassRate","http://qudt.org/vocab/quantitykind/SurgeImpedanceOfTheMedium"
"AreaPerAreaTime","Activity","A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/quantitykind/AreaPerAreaTime","http://qudt.org/vocab/quantitykind/Activity"
"AreaPerAreaTime","AngularFrequency","A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/quantitykind/AreaPerAreaTime","http://qudt.org/vocab/quantitykind/AngularFrequency"
"AreaPerAreaTime","AngularVelocity","A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/quantitykind/AreaPerAreaTime","http://qudt.org/vocab/quantitykind/AngularVelocity"
"AreaPerAreaTime","BitRate","A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/quantitykind/AreaPerAreaTime","http://qudt.org/vocab/quantitykind/BitRate"
"AreaPerAreaTime","BitTransmissionRate","A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/quantitykind/AreaPerAreaTime","http://qudt.org/vocab/quantitykind/BitTransmissionRate"
"AreaPerAreaTime","ByteRate","A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/quantitykind/AreaPerAreaTime","http://qudt.org/vocab/quantitykind/ByteRate"
"AreaPerAreaTime","ByteTransmissionRate","A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/quantitykind/AreaPerAreaTime","http://qudt.org/vocab/quantitykind/ByteTransmissionRate"
"AreaPerAreaTime","ComplexFrequency_Real","A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/quantitykind/AreaPerAreaTime","http://qudt.org/vocab/quantitykind/ComplexFrequency_Real"
"AreaPerAreaTime","CountRate","A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/quantitykind/AreaPerAreaTime","http://qudt.org/vocab/quantitykind/CountRate"
"AreaPerAreaTime","CyclotronAngularFrequency","A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/quantitykind/AreaPerAreaTime","http://qudt.org/vocab/quantitykind/CyclotronAngularFrequency"
"AreaPerAreaTime","DataRate","A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/quantitykind/AreaPerAreaTime","http://qudt.org/vocab/quantitykind/DataRate"
"AreaPerAreaTime","DebyeAngularFrequency","A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/quantitykind/AreaPerAreaTime","http://qudt.org/vocab/quantitykind/DebyeAngularFrequency"
"AreaPerAreaTime","DecayConstant","A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/quantitykind/AreaPerAreaTime","http://qudt.org/vocab/quantitykind/DecayConstant"
"AreaPerAreaTime","FailureRate","A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/quantitykind/AreaPerAreaTime","http://qudt.org/vocab/quantitykind/FailureRate"
"AreaPerAreaTime","FloatingPointCalculationCapability","A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/quantitykind/AreaPerAreaTime","http://qudt.org/vocab/quantitykind/FloatingPointCalculationCapability"
"AreaPerAreaTime","Frequency","A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/quantitykind/AreaPerAreaTime","http://qudt.org/vocab/quantitykind/Frequency"
"AreaPerAreaTime","HeartRate","A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/quantitykind/AreaPerAreaTime","http://qudt.org/vocab/quantitykind/HeartRate"
"AreaPerAreaTime","Incidence","A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/quantitykind/AreaPerAreaTime","http://qudt.org/vocab/quantitykind/Incidence"
"AreaPerAreaTime","IncidenceProportion","A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/quantitykind/AreaPerAreaTime","http://qudt.org/vocab/quantitykind/IncidenceProportion"
"AreaPerAreaTime","IncidenceRate","A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/quantitykind/AreaPerAreaTime","http://qudt.org/vocab/quantitykind/IncidenceRate"
"AreaPerAreaTime","InformationFlowRate","A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/quantitykind/AreaPerAreaTime","http://qudt.org/vocab/quantitykind/InformationFlowRate"
"AreaPerAreaTime","InverseTime","A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/quantitykind/AreaPerAreaTime","http://qudt.org/vocab/quantitykind/InverseTime"
"AreaPerAreaTime","LarmorAngularFrequency","A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/quantitykind/AreaPerAreaTime","http://qudt.org/vocab/quantitykind/LarmorAngularFrequency"
"AreaPerAreaTime","LogarithmicMedianInformationFlow_SourceToBase10","A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/quantitykind/AreaPerAreaTime","http://qudt.org/vocab/quantitykind/LogarithmicMedianInformationFlow_SourceToBase10"
"AreaPerAreaTime","LogarithmicMedianInformationFlow_SourceToBase2","A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/quantitykind/AreaPerAreaTime","http://qudt.org/vocab/quantitykind/LogarithmicMedianInformationFlow_SourceToBase2"
"AreaPerAreaTime","LogarithmicMedianInformationFlow_SourceToBaseE","A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/quantitykind/AreaPerAreaTime","http://qudt.org/vocab/quantitykind/LogarithmicMedianInformationFlow_SourceToBaseE"
"AreaPerAreaTime","MassSpecificBiogeochemicalRate","A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/quantitykind/AreaPerAreaTime","http://qudt.org/vocab/quantitykind/MassSpecificBiogeochemicalRate"
